dep_var,ind_var,group,RRR,RRR.LCI,RRR.UCI,p,Evalue
dv_sr_sleep_abn_cat,BD3MRUTT,Long,0.927306115890048,0.189575343009397,4.53590967536566,0.925781110937057,1
dv_sr_sleep_abn_cat,BD3MRUTT,Short,2.13908387820331,1.23481613681202,3.70555558967877,0.00690195418668038,1.77329060688404
dv_sd_sleep_abn_cat,BD3MRUTT,Long,1.85317681138507,0.709439554645984,4.84081310629638,0.208309868324285,1
dv_sd_sleep_abn_cat,BD3MRUTT,Short,2.44579524340876,1.18104721075734,5.06492400828329,0.0165455325556434,1.64345969250969
dv_pal_sleep_abn_cat,BD3MRUTT,Long,1.02295392929294,0.62696001633894,1.6690613662517,0.927651463839904,1
dv_pal_sleep_abn_cat,BD3MRUTT,Short,1.14926151419871,0.537598534603317,2.45685570737821,0.719844415965072,1
dv_vdb_sleep_abn_cat,BD3MRUTT,Long,1.61880124293579,0.851913414513058,3.07603732901459,0.142530076396778,1
dv_vdb_sleep_abn_cat,BD3MRUTT,Short,1.90444143414676,0.652399018370205,5.55932347224484,0.239068380154414,1
dv_winkler_sleep_abn_cat,BD3MRUTT,Long,1.03415887043906,0.446508670045513,2.39521568349118,0.937538731672351,1
dv_winkler_sleep_abn_cat,BD3MRUTT,Short,1.41963105923729,0.764758235458323,2.63528034208535,0.26784703324092,1
