dep_var,ind_var,group,RRR,RRR.LCI,RRR.UCI,p,Evalue
dv_sr_sleep_abn_cat,BD4MAL,Long,2.21898447024216,0.203470807463663,24.1995013464288,0.51375737724858,1
dv_sr_sleep_abn_cat,BD4MAL,Short,5.55392984366222,2.46066538437023,12.5356892912997,5.03654293628115e-05,4.35650523769847
dv_sd_sleep_abn_cat,BD4MAL,Long,1.49191049320137,0.320861649251886,6.93693660465182,0.610334405452943,1
dv_sd_sleep_abn_cat,BD4MAL,Short,1.62235937882599,0.61117223774442,4.30656006853068,0.332319598368666,1
dv_pal_sleep_abn_cat,BD4MAL,Long,1.25459611815328,0.722033598415247,2.17996977306871,0.421701273118162,1
dv_pal_sleep_abn_cat,BD4MAL,Short,1.36712639089197,0.550865338629244,3.39290646480708,0.50067287738235,1
dv_vdb_sleep_abn_cat,BD4MAL,Long,1.16537643328858,0.57698311420706,2.35379892032168,0.66999367855517,1
dv_vdb_sleep_abn_cat,BD4MAL,Short,1.11400165279319,0.324845799701417,3.82027313749056,0.863775008872321,1
dv_winkler_sleep_abn_cat,BD4MAL,Long,1.48182703244521,0.663168401435102,3.31109164630528,0.33801705572173,1
dv_winkler_sleep_abn_cat,BD4MAL,Short,1.62398136151162,0.802112619577671,3.28796156321009,0.179207931625876,1
