dep_var,ind_var,group,RRR,RRR.LCI,RRR.UCI,p,Evalue
dv_sr_sleep_abn_cat,intbcsz,Long,2.35024000045369,0.416010788266437,13.2776077340449,0.334054192417454,1
dv_sr_sleep_abn_cat,intbcsz,Short,1.93004445519119,1.08023978691804,3.44837474431672,0.0270588525708871,1.37465142106773
dv_sd_sleep_abn_cat,intbcsz,Long,1.13430848923397,0.488637266176332,2.63315108734247,0.769383423313348,1
dv_sd_sleep_abn_cat,intbcsz,Short,1.90343784393228,0.964733519577871,3.75551958358292,0.0643615421879127,1
dv_pal_sleep_abn_cat,intbcsz,Long,1.25939034967323,0.790951773108779,2.00526012681677,0.331867179370728,1
dv_pal_sleep_abn_cat,intbcsz,Short,1.48079490676769,0.690291485546289,3.17656178849406,0.314126947921631,1
dv_vdb_sleep_abn_cat,intbcsz,Long,1.42894464947934,0.76788113822915,2.65911312261753,0.261089602258885,1
dv_vdb_sleep_abn_cat,intbcsz,Short,1.47287814717098,0.557431397900821,3.89172559095747,0.435151172490275,1
dv_winkler_sleep_abn_cat,intbcsz,Long,1.09649531737553,0.515930320987019,2.33035728298803,0.810790819610307,1
dv_winkler_sleep_abn_cat,intbcsz,Short,1.29825990465964,0.706409107615069,2.3859811005796,0.401366666844805,1
