dep_var,ind_var,group,RRR,RRR.LCI,RRR.UCI,p,Evalue
dv_sr_sleep_abn_cat,rd6m_1,Long,1.31233663522293,0.258806351207073,6.6545022412154,0.742973950280207,1
dv_sr_sleep_abn_cat,rd6m_1,Short,1.85224128637538,1.07629727723012,3.18759310790304,0.0268412642957428,1.3628606240539
dv_sd_sleep_abn_cat,rd6m_1,Long,1.14927055364068,0.489432043940409,2.69868477517663,0.749510776772125,1
dv_sd_sleep_abn_cat,rd6m_1,Short,2.00465256243447,0.983641079152228,4.08546570618892,0.0567468518752253,1
dv_pal_sleep_abn_cat,rd6m_1,Long,1.45061762991945,0.805039237721886,2.61389931028439,0.216837626316465,1
dv_pal_sleep_abn_cat,rd6m_1,Short,1.917284585851,0.828032131370465,4.43941731712484,0.129931877582991,1
dv_vdb_sleep_abn_cat,rd6m_1,Long,1.01612746242067,0.493790042091338,2.09100008479816,0.96538131693452,1
dv_vdb_sleep_abn_cat,rd6m_1,Short,1.07381898063862,0.401871088609526,2.86929623917324,0.887129308473238,1
dv_winkler_sleep_abn_cat,rd6m_1,Long,0.915895191972161,0.411724982120022,2.03743770503871,0.829550226025912,1
dv_winkler_sleep_abn_cat,rd6m_1,Short,1.0801558477268,0.575771075980191,2.0263898345226,0.810385918866532,1
