dep_var,ind_var,RR,RR.LCI,RR.UCI,p,Evalue
dv_sr_sleep_abn,intbcsz,0.978332022649872,0.612008724256484,1.56392140929852,0.927133807392295,1
dv_sd_sleep_abn,intbcsz,1.11055100869296,0.667240962535796,1.84839302764298,0.686955024709186,1
dv_pal_sleep_abn,intbcsz,1.10938030620765,0.804452717742001,1.52989061589086,0.527274533109283,1
dv_vdb_sleep_abn,intbcsz,1.11621766083159,0.785490870399511,1.58619522301849,0.540247316658522,1
dv_winkler_sleep_abn,intbcsz,1.06068345384952,0.75338444791962,1.4933270687719,0.735984802253718,1
